id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1482891,"Private floor with bedroom, bathroom and living",2091743,Paul,,Dampoort,51.04821,3.75034,Private room,57,2,122,2025-05-31,1.14,1,105,7,
1627743,band resort 0.1,8651909,Gerald,,Binnenstad,51.05631,3.72768,Entire home/apt,93,5,226,2025-06-14,1.58,2,192,12,
1670943,Room in cosy and little house near centre of Ghent,5390128,Mieke,,Muide - Meulestede - Afrikalaan,51.07408905029297,3.7324869632720947,Private room,77,1,58,2025-05-31,0.44,3,79,15,
1720808,unique loftspace with garden,9071229,Mieke,,Sluizeken - Tolhuis - Ham,51.05806,3.73801,Entire home/apt,181,4,25,2024-08-03,0.18,1,213,2,
1754719,Band Resort 1.1. - Rent Appartment,9228510,Vincent,,Binnenstad,51.05449,3.72634,Entire home/apt,336,2,324,2025-06-15,2.29,1,316,42,
1981738,Small loft + private bathroom,10225820,Peter,,Oud Gentbrugge,51.04052,3.74554,Private room,51,2,381,2025-06-22,2.73,1,314,30,
2082353,"Cosy, sunny and spacious house with city garden",9075008,Wouter,,Ledeberg,51.03942,3.74241,Entire home/apt,155,2,197,2025-06-08,1.41,1,57,14,
2138676,Appartement Centrum aan Water “roomS with a view”,10913980,Alice,,Macharius - Heirnis,51.04414,3.73911,Entire home/apt,91,2,102,2025-05-11,0.73,1,357,2,
2216415,A Bright Apartment in Ghent (50m²),11304146,Kristof,,Macharius - Heirnis,51.05463,3.73745,Entire home/apt,51,90,83,2025-03-09,0.60,4,222,9,
2398101,Ingericht appartement aan de rand van de stad,5298594,Isabelle,,Ledeberg,51.034763,3.734547,Entire home/apt,83,3,27,2024-06-25,0.35,1,0,1,
2471516,Appartement center Ledeberg,12637432,Pieter,,Ledeberg,51.03788804155838,3.7485871682617056,Entire home/apt,,4,2,2024-07-21,0.14,1,0,1,
2495356,Entrée d'Artistes@GhentHistoricalCentre,12772331,Ann,,Sluizeken - Tolhuis - Ham,51.06135,3.72523,Private room,60,1,496,2025-06-08,3.63,1,38,36,
2525482,Located 3 km from center . ( room ),12931085,Koen,,Bloemekenswijk,51.07502,3.70798,Private room,185,1,0,,,1,365,0,
2600085,Brand new studio flat,13314551,Kris &  Marie,,Macharius - Heirnis,51.05309,3.73597,Entire home/apt,,2,34,2018-02-18,0.25,2,0,0,
2604886,Gezellig huisje langs het Kanaal,13340654,Dirk,,Mariakerke,51.07425,3.68447,Entire home/apt,91,4,33,2025-06-10,0.27,1,41,7,
2702324,Luxury Loft,13829824,Francis,,Muide - Meulestede - Afrikalaan,51.08058,3.72903,Entire home/apt,65,14,41,2025-06-09,0.30,7,320,5,
3120783,Villa-Emma - 3000m2 tuin:Tilia,15853573,Georges,,Sint Amandsberg,51.075,3.75642,Private room,125,2,9,2023-05-09,0.07,2,259,0,
3124062,Villa-Emma - 3000m2 tuin:Acacia,15853573,Georges,,Sint Amandsberg,51.07558,3.75869,Private room,145,2,8,2022-04-24,0.06,2,266,0,
3611653,Charming duplex in historical center,18198634,Isabelle,,Binnenstad,51.05312,3.72556,Entire home/apt,239,2,448,2025-06-01,3.37,1,173,46,
3803585,Beautiful and comfortable bedroom,19543730,Vera,,Binnenstad,51.05089,3.73527,Private room,54,2,109,2021-08-15,0.83,1,69,0,
3831324,Home Trietje 1 **,19054548,Ly,,Mariakerke,51.072,3.68585,Entire home/apt,207,7,29,2025-05-02,0.23,2,245,3,
3837839,Cosy 3-room studio near old center,13314551,Kris &  Marie,,Macharius - Heirnis,51.0517,3.73758,Entire home/apt,,2,148,2020-08-15,1.12,2,0,0,
4104274,"Room in nice appt 15min walk to centre, free bikes",21290432,Sofie,,Binnenstad,51.03752,3.73251,Private room,52,3,178,2025-06-22,1.36,1,133,11,
4397066,Open studio,11304146,Kristof,,Brugse Poort - Rooigem,51.06002,3.69982,Entire home/apt,36,90,23,2025-02-09,0.18,4,146,1,
4458417,house with 3 bedrooms and garden,6316738,Lies,,Brugse Poort - Rooigem,51.06145,3.69534,Entire home/apt,,5,12,2024-08-13,0.10,1,0,1,
4550799,Artist habitat in the center (6pax),23595340,Gaby,,Binnenstad,51.05636,3.72161,Private room,130,2,121,2025-04-17,0.95,2,322,11,
4589336,B&B cozy whole apartment,23789053,Tobby,,Nieuw Gent - UZ,51.02826,3.73011,Entire home/apt,90,1,536,2025-06-10,4.16,1,7,34,
4591763,Romantic boat in Gent,23801608,Hans,,Macharius - Heirnis,51.04565,3.74406,Entire home/apt,81,2,617,2025-06-04,4.79,1,145,34,
4595143,Mayflower Studio,23819348,Carine,,Gentbrugge,51.04463,3.76189,Private room,66,7,10,2022-05-18,0.08,1,340,0,
4645775,"Charming & historic villa, garden + free! parking",5438353,Sofie,,Stationsbuurt Noord,51.03855,3.71455,Entire home/apt,202,2,379,2025-06-20,3.24,1,309,44,
4696196,Artist habitat in the center (2pax),23595340,Gaby,,Binnenstad,51.0571,3.72195,Private room,116,2,58,2025-05-31,0.45,2,327,6,
4733566,Spacious 3br family villa with big garden,14003598,Elfie,,Sint Denijs Westrem,51.02949,3.68237,Entire home/apt,,3,35,2024-08-30,0.27,1,3,2,
5224982,Water side stay in art deco cabin,13829824,Francis,,Muide - Meulestede - Afrikalaan,51.07564,3.72872,Entire home/apt,89,2,275,2025-03-16,2.18,7,312,23,
5273113,Your home for a stay of minimum 5 nights.,27297880,Kristiaan,,Stationsbuurt Noord,51.03323,3.72638,Private room,75,5,23,2025-03-29,0.28,1,7,6,
5303608,La cabane,18097910,Gino,,Dampoort,51.059704,3.74287,Entire home/apt,80,1,1090,2025-06-24,8.66,1,290,113,
5498400,"Entre dos aguas, next to a citypark",310389,Dirk,,Macharius - Heirnis,51.04442,3.73858,Entire home/apt,,7,134,2024-09-28,1.08,1,0,7,
5590250,"Modern, Luxurious, Quiet",28983914,Birger,,Stationsbuurt Zuid,51.02916,3.71097,Private room,58,5,114,2025-01-28,0.93,1,258,2,
5694820,Baudelo's duplex apartment (air conditioning),29523955,Anne-Marie,,Binnenstad,51.05792,3.72885,Entire home/apt,180,2,364,2024-09-15,2.91,1,131,10,
5799277,StudioD,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021286010742,3.716377019882202,Entire home/apt,81,90,1,2024-06-30,0.08,6,146,1,
5908287,Maxi LOFT (200m2) met parking,29314978,Martine,,Brugse Poort - Rooigem,51.05444,3.69854,Entire home/apt,175,2,279,2025-06-09,2.31,1,293,33,
6054825,Bright apt. with free parking and free bicycles,757037,Wim,,Mariakerke,51.07254,3.69211,Entire home/apt,86,2,367,2024-10-24,2.97,1,315,16,
6441548,FoudeGand.be - For Expats & Business Travellers,33631603,Peter,,Binnenstad,51.04678,3.73412,Entire home/apt,113,14,81,2025-04-15,0.70,1,276,5,
6807238,Uniek huisje in tuin centrum Gent,5050531,Bart,,Sluizeken - Tolhuis - Ham,51.06087,3.72955,Entire home/apt,99,2,88,2025-05-11,0.72,1,331,12,
6918908,Private and peaceful studio,10349286,Amanda,,Zwijnaarde,50.99797,3.71587,Entire home/apt,67,2,56,2025-02-22,0.46,1,296,7,
7556348,RENOVATED DUPLEX IN THE CENTRE,3362271,Céline,,Sluizeken - Tolhuis - Ham,51.06423,3.72795,Private room,75,2,272,2025-06-09,2.27,1,337,7,
7568806,Citycentre design app+garage+breakf,39681783,Ben/Barbara,,Binnenstad,51.05852,3.72578,Entire home/apt,106,1,856,2025-06-09,7.10,1,271,106,
